Id,LotFrontage,LotArea,LotShape,Neighborhood,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,Exterior2nd,ExterQual,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,OpenPorchSF,SalePrice
12,85.0,11924,IR1,NridgHt,2Story,9,5,2005,2006,WdShing,Wd Shng,4,PConc,4.0,No,GLQ,998.0,177.0,1175.0,5,1182,2324,1.0,3,0,4,4.0,11,2,4.0,BuiltIn,2005.0,3.0,3.0,736.0,21,345000.0
13,,12968,IR2,Sawyer,1Story,5,6,1962,1962,HdBoard,Plywood,2,CBlock,2.0,No,ALQ,737.0,175.0,912.0,3,912,912,1.0,1,0,2,2.0,4,0,,Detchd,1962.0,1.0,1.0,352.0,0,144000.0
14,91.0,10652,IR1,CollgCr,1Story,7,5,2006,2007,VinylSd,VinylSd,3,PConc,3.0,Av,Unf,0.0,1494.0,1494.0,5,1494,1494,0.0,2,0,3,3.0,7,1,4.0,Attchd,2006.0,2.0,3.0,840.0,33,279500.0
15,,10920,IR1,NAmes,1Story,6,5,1960,1960,MetalSd,MetalSd,2,CBlock,2.0,No,BLQ,733.0,520.0,1253.0,3,1253,1253,1.0,1,1,2,2.0,5,1,2.0,Attchd,1960.0,2.0,1.0,352.0,213,157000.0
16,51.0,6120,Reg,BrkSide,1.5Unf,7,8,1929,2001,Wd Sdng,Wd Sdng,2,BrkTil,2.0,No,Unf,0.0,832.0,832.0,5,854,854,0.0,1,0,2,2.0,5,0,,Detchd,1991.0,1.0,2.0,576.0,112,132000.0
17,,11241,IR1,NAmes,1Story,6,7,1970,1970,Wd Sdng,Wd Sdng,2,CBlock,2.0,No,ALQ,578.0,426.0,1004.0,5,1004,1004,1.0,1,0,2,2.0,5,1,3.0,Attchd,1970.0,3.0,2.0,480.0,0,149000.0
18,72.0,10791,Reg,Sawyer,1Story,4,5,1967,1967,MetalSd,MetalSd,2,Slab,,,,0.0,0.0,0.0,3,1296,1296,0.0,2,0,2,2.0,6,0,,CarPort,1967.0,1.0,2.0,516.0,0,90000.0
19,66.0,13695,Reg,SawyerW,1Story,5,5,2004,2004,VinylSd,VinylSd,2,PConc,2.0,No,GLQ,646.0,468.0,1114.0,5,1114,1114,1.0,1,1,3,3.0,6,0,,Detchd,2004.0,1.0,2.0,576.0,102,159000.0
20,70.0,7560,Reg,NAmes,1Story,5,6,1958,1965,BrkFace,Plywood,2,CBlock,2.0,No,LwQ,504.0,525.0,1029.0,3,1339,1339,0.0,1,0,3,2.0,6,0,,Attchd,1958.0,1.0,1.0,294.0,0,139000.0
21,101.0,14215,IR1,NridgHt,2Story,8,5,2005,2006,VinylSd,VinylSd,3,PConc,4.0,Av,Unf,0.0,1158.0,1158.0,5,1158,2376,0.0,3,1,4,3.0,9,1,4.0,BuiltIn,2005.0,2.0,3.0,853.0,154,325300.0
22,57.0,7449,Reg,IDOTRR,1.5Unf,7,7,1930,1950,Wd Sdng,Wd Sdng,2,PConc,2.0,No,Unf,0.0,637.0,637.0,5,1108,1108,0.0,1,0,3,3.0,6,1,4.0,Attchd,1930.0,1.0,1.0,280.0,0,139400.0
23,75.0,9742,Reg,CollgCr,1Story,8,5,2002,2002,VinylSd,VinylSd,3,PConc,3.0,No,Unf,0.0,1777.0,1777.0,5,1795,1795,0.0,2,0,3,3.0,7,1,4.0,Attchd,2002.0,2.0,2.0,534.0,159,230000.0
24,44.0,4224,Reg,MeadowV,1Story,5,7,1976,1976,CemntBd,CmentBd,2,PConc,3.0,No,GLQ,840.0,200.0,1040.0,3,1060,1060,1.0,1,0,3,2.0,6,1,3.0,Attchd,1976.0,1.0,2.0,572.0,110,129900.0
25,,8246,IR1,Sawyer,1Story,5,8,1968,2001,Plywood,Plywood,2,CBlock,2.0,Mn,Rec,188.0,204.0,1060.0,5,1060,1060,1.0,1,0,3,3.0,6,1,3.0,Attchd,1968.0,1.0,1.0,270.0,90,154000.0
26,110.0,14230,Reg,NridgHt,1Story,8,5,2007,2007,VinylSd,VinylSd,3,PConc,3.0,No,Unf,0.0,1566.0,1566.0,5,1600,1600,0.0,2,0,3,3.0,7,1,4.0,Attchd,2007.0,2.0,3.0,890.0,56,256300.0
27,60.0,7200,Reg,NAmes,1Story,5,7,1951,2000,Wd Sdng,Wd Sdng,2,CBlock,2.0,Mn,BLQ,234.0,180.0,900.0,3,900,900,0.0,1,0,3,3.0,5,0,,Detchd,2005.0,1.0,2.0,576.0,32,134800.0
28,98.0,11478,Reg,NridgHt,1Story,8,5,2007,2008,VinylSd,VinylSd,3,PConc,4.0,No,GLQ,1218.0,486.0,1704.0,5,1704,1704,1.0,2,0,3,3.0,7,1,4.0,Attchd,2008.0,2.0,3.0,772.0,50,306000.0
29,47.0,16321,IR1,NAmes,1Story,5,6,1957,1997,MetalSd,MetalSd,2,CBlock,2.0,Gd,BLQ,1277.0,207.0,1484.0,3,1600,1600,1.0,1,0,2,2.0,6,2,4.0,Attchd,1957.0,2.0,1.0,319.0,258,207500.0
30,60.0,6324,IR1,BrkSide,1Story,4,6,1927,1950,MetalSd,MetalSd,2,BrkTil,2.0,No,Unf,0.0,520.0,520.0,2,520,520,0.0,1,0,1,1.0,4,0,,Detchd,1920.0,1.0,1.0,240.0,0,68500.0
31,50.0,8500,Reg,IDOTRR,2Story,4,4,1920,1950,BrkFace,BrkFace,2,BrkTil,2.0,No,Unf,0.0,649.0,649.0,3,649,1317,0.0,1,0,3,2.0,6,0,,Detchd,1920.0,1.0,1.0,250.0,54,40000.0
32,,8544,IR1,Sawyer,1Story,5,6,1966,2006,HdBoard,HdBoard,2,CBlock,2.0,No,Unf,0.0,1228.0,1228.0,4,1228,1228,0.0,1,1,3,3.0,6,0,,Attchd,1966.0,1.0,1.0,271.0,65,149350.0
33,85.0,11049,Reg,CollgCr,1Story,8,5,2007,2007,VinylSd,VinylSd,3,PConc,4.0,Av,Unf,0.0,1234.0,1234.0,5,1234,1234,0.0,2,0,3,3.0,7,0,,Attchd,2007.0,2.0,2.0,484.0,30,179900.0
34,70.0,10552,IR1,NAmes,1Story,5,5,1959,1959,BrkFace,BrkFace,2,CBlock,2.0,No,Rec,1018.0,380.0,1398.0,4,1700,1700,0.0,1,1,4,3.0,6,1,4.0,Attchd,1959.0,2.0,2.0,447.0,38,165500.0
35,60.0,7313,Reg,NridgHt,1Story,9,5,2005,2005,MetalSd,MetalSd,4,PConc,4.0,No,GLQ,1153.0,408.0,1561.0,5,1561,1561,1.0,2,0,2,4.0,6,1,4.0,Attchd,2005.0,3.0,2.0,556.0,47,277500.0
36,108.0,13418,Reg,NridgHt,2Story,8,5,2004,2005,VinylSd,VinylSd,3,PConc,4.0,Av,Unf,0.0,1117.0,1117.0,5,1132,2452,0.0,3,1,4,3.0,9,1,4.0,BuiltIn,2004.0,3.0,3.0,691.0,32,309000.0
37,112.0,10859,Reg,CollgCr,1Story,5,5,1994,1995,VinylSd,VinylSd,2,PConc,3.0,No,Unf,0.0,1097.0,1097.0,5,1097,1097,0.0,1,1,3,2.0,6,0,,Attchd,1995.0,1.0,2.0,672.0,64,145000.0
38,74.0,8532,Reg,NAmes,1Story,5,6,1954,1990,Wd Sdng,Wd Sdng,2,CBlock,2.0,No,Rec,1213.0,84.0,1297.0,4,1297,1297,0.0,1,0,3,2.0,5,1,3.0,Attchd,1954.0,3.0,2.0,498.0,0,153000.0
39,68.0,7922,Reg,NAmes,1Story,5,7,1953,2007,VinylSd,VinylSd,2,CBlock,2.0,No,GLQ,731.0,326.0,1057.0,3,1057,1057,1.0,1,0,3,3.0,5,0,,Detchd,1953.0,1.0,1.0,246.0,52,109000.0
40,65.0,6040,Reg,Edwards,1Story,4,5,1955,1955,AsbShng,Plywood,2,PConc,,,,0.0,0.0,0.0,3,1152,1152,0.0,2,0,2,1.0,6,0,,,,,0.0,0.0,0,82000.0
41,84.0,8658,Reg,NAmes,1Story,6,5,1965,1965,Wd Sdng,Wd Sdng,2,CBlock,2.0,No,Rec,643.0,445.0,1088.0,5,1324,1324,0.0,2,0,3,2.0,6,1,3.0,Attchd,1965.0,2.0,2.0,440.0,138,160000.0
42,115.0,16905,Reg,Timber,1Story,5,6,1959,1959,VinylSd,VinylSd,2,CBlock,2.0,Gd,BLQ,967.0,383.0,1350.0,4,1328,1328,0.0,1,1,2,2.0,5,2,4.0,Attchd,1959.0,2.0,1.0,308.0,104,170000.0
43,,9180,IR1,SawyerW,SFoyer,5,7,1983,1983,HdBoard,HdBoard,2,CBlock,3.0,Av,ALQ,747.0,0.0,840.0,4,884,884,1.0,1,0,2,3.0,5,0,,Attchd,1983.0,2.0,2.0,504.0,0,144000.0
44,,9200,IR1,CollgCr,1Story,5,6,1975,1980,VinylSd,VinylSd,2,CBlock,3.0,Av,LwQ,280.0,167.0,938.0,3,938,938,1.0,1,0,3,2.0,5,0,,Detchd,1977.0,1.0,1.0,308.0,0,130250.0
45,70.0,7945,Reg,NAmes,1Story,5,6,1959,1959,BrkFace,Wd Sdng,2,CBlock,2.0,No,ALQ,179.0,465.0,1150.0,5,1150,1150,1.0,1,0,3,2.0,6,0,,Attchd,1959.0,2.0,1.0,300.0,0,141000.0
46,61.0,7658,Reg,NridgHt,1Story,9,5,2005,2005,MetalSd,MetalSd,4,PConc,4.0,No,GLQ,456.0,1296.0,1752.0,5,1752,1752,1.0,2,0,2,4.0,6,1,4.0,Attchd,2005.0,2.0,2.0,576.0,82,319900.0
47,48.0,12822,IR1,Mitchel,1.5Fin,7,5,2003,2003,VinylSd,VinylSd,3,PConc,4.0,No,GLQ,1351.0,83.0,1434.0,5,1518,2149,1.0,1,1,1,3.0,6,1,5.0,Attchd,2003.0,2.0,2.0,670.0,43,239686.0
48,84.0,11096,Reg,Somerst,1Story,8,5,2006,2006,VinylSd,VinylSd,3,PConc,3.0,Av,GLQ,24.0,1632.0,1656.0,5,1656,1656,0.0,2,0,3,3.0,7,0,,Attchd,2006.0,2.0,3.0,826.0,146,249700.0
49,33.0,4456,Reg,OldTown,2Story,4,5,1920,2008,MetalSd,MetalSd,2,BrkTil,2.0,No,Unf,0.0,736.0,736.0,4,736,1452,0.0,2,0,2,2.0,8,0,,,,,0.0,0.0,0,113000.0
50,66.0,7742,Reg,Sawyer,1Story,5,7,1966,1966,HdBoard,HdBoard,2,CBlock,2.0,No,BLQ,763.0,192.0,955.0,5,955,955,1.0,1,0,3,2.0,6,0,,Attchd,1966.0,1.0,1.0,386.0,0,127000.0
51,,13869,IR2,Gilbert,2Story,6,6,1997,1997,VinylSd,VinylSd,2,PConc,3.0,Av,GLQ,182.0,612.0,794.0,4,794,1470,0.0,2,0,3,2.0,6,0,,Attchd,1997.0,3.0,2.0,388.0,75,177000.0
52,52.0,6240,Reg,BrkSide,1.5Fin,6,6,1934,1950,Wd Sdng,Wd Sdng,2,PConc,2.0,No,Unf,0.0,816.0,816.0,3,816,1176,0.0,1,0,3,2.0,6,1,4.0,Detchd,1985.0,1.0,2.0,528.0,0,114500.0
53,110.0,8472,IR2,IDOTRR,1Story,5,5,1963,1963,Wd Sdng,Wd Sdng,1,CBlock,3.0,Gd,LwQ,104.0,0.0,816.0,3,816,816,1.0,1,0,2,2.0,5,0,,CarPort,1963.0,1.0,2.0,516.0,0,110000.0
54,68.0,50271,IR1,Veenker,1Story,9,5,1981,1987,WdShing,Wd Shng,3,CBlock,4.0,Gd,GLQ,1810.0,32.0,1842.0,4,1842,1842,2.0,0,1,0,3.0,5,1,4.0,Attchd,1981.0,3.0,3.0,894.0,72,385000.0
55,60.0,7134,Reg,NAmes,SLvl,5,5,1955,1955,MetalSd,MetalSd,2,CBlock,2.0,No,ALQ,384.0,0.0,384.0,3,1360,1360,0.0,1,0,3,2.0,6,1,3.0,Detchd,1962.0,1.0,2.0,572.0,50,130000.0
56,100.0,10175,IR1,NAmes,1Story,6,5,1964,1964,HdBoard,Plywood,2,CBlock,2.0,No,BLQ,490.0,935.0,1425.0,4,1425,1425,0.0,2,0,3,2.0,7,1,4.0,Attchd,1964.0,2.0,2.0,576.0,0,180500.0
57,24.0,2645,Reg,Somerst,2Story,8,5,1999,2000,MetalSd,MetalSd,3,PConc,3.0,No,GLQ,649.0,321.0,970.0,5,983,1739,1.0,2,1,3,3.0,7,0,,Attchd,1999.0,3.0,2.0,480.0,0,172500.0
58,89.0,11645,IR1,CollgCr,2Story,7,5,2004,2004,VinylSd,VinylSd,3,PConc,3.0,No,Unf,0.0,860.0,860.0,5,860,1720,0.0,2,1,3,3.0,7,0,,Attchd,2004.0,2.0,2.0,565.0,70,196500.0
59,66.0,13682,IR2,StoneBr,2Story,10,5,2006,2006,VinylSd,VinylSd,4,PConc,4.0,Gd,Unf,0.0,1410.0,1410.0,5,1426,2945,0.0,3,1,3,3.0,10,1,4.0,BuiltIn,2006.0,3.0,3.0,641.0,0,438780.0
60,60.0,7200,Reg,CollgCr,1Story,5,7,1972,1972,HdBoard,HdBoard,2,CBlock,2.0,Av,ALQ,632.0,148.0,780.0,5,780,780,0.0,1,0,2,2.0,4,0,,Detchd,1973.0,1.0,1.0,352.0,0,124900.0
61,63.0,13072,Reg,SawyerW,1Story,6,5,2004,2004,VinylSd,VinylSd,2,PConc,3.0,No,ALQ,941.0,217.0,1158.0,5,1158,1158,1.0,1,1,3,3.0,5,0,,Detchd,2006.0,1.0,2.0,576.0,50,158000.0
62,60.0,7200,Reg,IDOTRR,2.5Unf,5,7,1920,1996,MetalSd,MetalSd,2,BrkTil,2.0,No,Unf,0.0,530.0,530.0,3,581,1111,0.0,1,0,3,1.0,6,0,,Detchd,1935.0,1.0,1.0,288.0,0,101000.0
63,44.0,6442,IR1,NridgHt,1Story,8,5,2006,2006,VinylSd,VinylSd,3,PConc,3.0,Mn,GLQ,24.0,1346.0,1370.0,5,1370,1370,0.0,2,0,2,3.0,6,1,4.0,Attchd,2006.0,2.0,2.0,484.0,49,202500.0
64,50.0,10300,IR1,OldTown,2Story,7,6,1921,1950,Stucco,Stucco,2,BrkTil,2.0,No,Unf,0.0,576.0,576.0,4,902,1710,0.0,2,0,3,2.0,9,0,,Detchd,1990.0,1.0,2.0,480.0,11,140000.0
65,,9375,Reg,CollgCr,2Story,7,5,1997,1998,VinylSd,VinylSd,2,PConc,3.0,No,GLQ,739.0,318.0,1057.0,5,1057,2034,1.0,2,1,3,3.0,8,0,,Attchd,1998.0,2.0,2.0,645.0,36,219500.0
66,76.0,9591,Reg,NridgHt,2Story,8,5,2004,2005,VinylSd,VinylSd,3,PConc,4.0,Av,Unf,0.0,1143.0,1143.0,5,1143,2473,0.0,2,1,4,3.0,9,1,4.0,BuiltIn,2004.0,2.0,3.0,852.0,151,317000.0
67,,19900,Reg,NAmes,1Story,7,5,1970,1989,Plywood,Plywood,2,CBlock,3.0,Gd,GLQ,912.0,1035.0,1947.0,3,2207,2207,1.0,2,0,3,2.0,7,1,4.0,Attchd,1970.0,2.0,2.0,576.0,0,180000.0
68,72.0,10665,IR1,CollgCr,1Story,7,5,2003,2003,VinylSd,VinylSd,3,PConc,3.0,Av,GLQ,1013.0,440.0,1453.0,5,1479,1479,1.0,2,0,3,3.0,7,0,,Attchd,2003.0,2.0,2.0,558.0,29,226000.0
69,47.0,4608,Reg,OldTown,1Story,4,6,1945,1950,MetalSd,MetalSd,2,CBlock,2.0,No,Unf,0.0,747.0,747.0,3,747,747,0.0,1,0,2,2.0,4,0,,Attchd,1945.0,1.0,1.0,220.0,0,80000.0
70,81.0,15593,Reg,ClearCr,1.5Fin,7,4,1953,1953,BrkFace,AsbShng,3,CBlock,2.0,No,BLQ,603.0,701.0,1304.0,3,1304,2287,0.0,2,0,3,2.0,7,1,3.0,Attchd,1953.0,3.0,2.0,667.0,21,225000.0
71,95.0,13651,IR1,NAmes,1Story,7,6,1973,1973,Plywood,Plywood,2,CBlock,3.0,Gd,ALQ,1880.0,343.0,2223.0,5,2223,2223,1.0,2,0,3,2.0,8,2,4.0,Attchd,1973.0,3.0,2.0,516.0,0,244000.0
72,69.0,7599,Reg,Mitchel,1Story,4,6,1982,2006,HdBoard,Plywood,2,CBlock,2.0,No,ALQ,565.0,280.0,845.0,3,845,845,1.0,1,0,2,2.0,4,0,,Detchd,1987.0,1.0,2.0,360.0,0,129500.0
73,74.0,10141,IR1,Gilbert,2Story,7,5,1998,1998,VinylSd,VinylSd,2,PConc,3.0,No,Unf,0.0,832.0,832.0,4,885,1718,0.0,2,1,3,2.0,7,1,3.0,Attchd,1998.0,3.0,2.0,427.0,94,185000.0
74,85.0,10200,Reg,NAmes,1Story,5,7,1954,2003,Wd Sdng,Wd Sdng,2,CBlock,2.0,No,ALQ,320.0,404.0,1086.0,4,1086,1086,1.0,1,0,3,2.0,6,0,,Attchd,1989.0,1.0,2.0,490.0,0,144900.0
75,60.0,5790,Reg,OldTown,2Story,3,6,1915,1950,VinylSd,VinylSd,3,CBlock,1.0,No,Unf,0.0,840.0,840.0,4,840,1605,0.0,2,0,3,2.0,8,0,,Detchd,1915.0,1.0,1.0,379.0,0,107400.0
76,21.0,1596,Reg,MeadowV,SLvl,4,5,1973,1973,CemntBd,CmentBd,2,CBlock,3.0,Gd,GLQ,462.0,0.0,462.0,3,526,988,1.0,1,0,2,2.0,5,0,,BuiltIn,1973.0,1.0,1.0,297.0,101,91000.0
77,,8475,IR1,NAmes,1Story,4,7,1956,1956,VinylSd,VinylSd,2,CBlock,2.0,No,ALQ,228.0,724.0,952.0,5,952,952,0.0,1,0,2,2.0,4,0,,Detchd,1956.0,1.0,1.0,283.0,0,135750.0
78,50.0,8635,Reg,BrkSide,1.5Fin,5,5,1948,2001,Wd Sdng,Wd Sdng,2,CBlock,2.0,No,BLQ,336.0,295.0,672.0,3,1072,1285,1.0,1,0,2,2.0,6,0,,Detchd,1948.0,1.0,1.0,240.0,0,127000.0
79,72.0,10778,Reg,Sawyer,1Story,4,5,1968,1968,HdBoard,HdBoard,2,CBlock,2.0,No,Unf,0.0,1768.0,1768.0,3,1768,1768,0.0,2,0,4,2.0,8,0,,,,,0.0,0.0,0,136500.0
80,60.0,10440,Reg,OldTown,2Story,5,6,1910,1981,Wd Sdng,Wd Sdng,2,PConc,2.0,No,Unf,0.0,440.0,440.0,4,682,1230,0.0,1,1,2,2.0,5,0,,Detchd,1966.0,1.0,2.0,440.0,0,110000.0
81,100.0,13000,Reg,NAmes,2Story,6,6,1968,1968,VinylSd,VinylSd,2,CBlock,3.0,No,Rec,448.0,448.0,896.0,3,1182,2142,0.0,2,1,4,3.0,8,1,4.0,Attchd,1968.0,3.0,1.0,509.0,72,193500.0
82,32.0,4500,Reg,Mitchel,1Story,6,5,1998,1998,VinylSd,VinylSd,2,PConc,4.0,No,GLQ,1201.0,36.0,1237.0,5,1337,1337,1.0,2,0,2,2.0,5,0,,Attchd,1998.0,3.0,2.0,405.0,199,153500.0
83,78.0,10206,Reg,Somerst,1Story,8,5,2007,2007,VinylSd,VinylSd,2,PConc,3.0,No,GLQ,33.0,1530.0,1563.0,5,1563,1563,0.0,2,0,3,3.0,6,1,4.0,Attchd,2007.0,2.0,3.0,758.0,99,245000.0
84,80.0,8892,IR1,NAmes,1Story,5,5,1960,1960,MetalSd,MetalSd,2,CBlock,2.0,No,Unf,0.0,1065.0,1065.0,4,1065,1065,0.0,1,1,3,2.0,6,0,,Detchd,1974.0,1.0,2.0,461.0,0,126500.0
85,,8530,IR1,Gilbert,SLvl,7,5,1995,1996,HdBoard,HdBoard,2,PConc,3.0,No,Unf,0.0,384.0,384.0,4,804,1474,0.0,2,1,3,2.0,7,1,3.0,BuiltIn,1995.0,3.0,2.0,400.0,72,168500.0
86,121.0,16059,Reg,NoRidge,2Story,8,5,1991,1992,HdBoard,HdBoard,3,CBlock,3.0,No,Unf,0.0,1288.0,1288.0,5,1301,2417,0.0,2,1,4,3.0,9,1,3.0,Attchd,1991.0,1.0,2.0,462.0,82,260000.0
87,122.0,11911,IR2,Gilbert,2Story,6,5,2005,2005,VinylSd,VinylSd,3,PConc,3.0,Av,Unf,0.0,684.0,684.0,5,684,1560,0.0,2,1,3,3.0,6,1,4.0,BuiltIn,2005.0,3.0,2.0,400.0,38,174000.0
88,40.0,3951,Reg,Somerst,2Story,6,5,2009,2009,VinylSd,VinylSd,3,PConc,3.0,Av,Unf,0.0,612.0,612.0,5,612,1224,0.0,2,1,2,3.0,4,0,,Detchd,2009.0,2.0,2.0,528.0,234,164500.0
89,105.0,8470,IR1,IDOTRR,1.5Fin,3,2,1915,1982,Plywood,Plywood,1,CBlock,2.0,No,Unf,0.0,1013.0,1013.0,3,1013,1526,0.0,1,0,2,1.0,6,0,,,,,0.0,0.0,0,85000.0
90,60.0,8070,Reg,CollgCr,1Story,4,5,1994,1995,VinylSd,VinylSd,2,PConc,3.0,No,GLQ,588.0,402.0,990.0,5,990,990,1.0,1,0,3,2.0,5,0,,,,,0.0,0.0,0,123600.0
91,60.0,7200,Reg,NAmes,1Story,4,5,1950,1950,BrkFace,Wd Sdng,2,Slab,,,,0.0,0.0,0.0,3,1040,1040,0.0,1,0,2,2.0,4,0,,Detchd,1950.0,1.0,2.0,420.0,29,109900.0
92,85.0,8500,Reg,NAmes,1Story,5,3,1961,1961,HdBoard,HdBoard,2,CBlock,2.0,No,Rec,600.0,635.0,1235.0,3,1235,1235,0.0,1,0,2,2.0,6,0,,Attchd,1961.0,1.0,2.0,480.0,0,98600.0
93,80.0,13360,IR1,Crawfor,1Story,5,7,1921,2006,Wd Sdng,Wd Sdng,2,BrkTil,3.0,No,ALQ,713.0,163.0,876.0,5,964,964,1.0,1,0,2,2.0,5,0,,Detchd,1921.0,1.0,2.0,432.0,0,163500.0
94,60.0,7200,Reg,OldTown,2.5Unf,6,6,1910,1998,MetalSd,MetalSd,2,BrkTil,2.0,Mn,Rec,1046.0,168.0,1214.0,5,1260,2291,0.0,2,0,4,2.0,9,1,4.0,Detchd,1900.0,1.0,2.0,506.0,0,133900.0
95,69.0,9337,IR1,CollgCr,2Story,6,5,1997,1997,VinylSd,VinylSd,2,PConc,3.0,No,GLQ,648.0,176.0,824.0,5,905,1786,1.0,2,1,3,3.0,7,0,,Attchd,1997.0,2.0,2.0,684.0,162,204750.0
96,,9765,IR2,Gilbert,2Story,6,8,1993,1993,VinylSd,VinylSd,4,PConc,3.0,No,ALQ,310.0,370.0,680.0,4,680,1470,0.0,2,1,3,2.0,6,1,3.0,BuiltIn,1993.0,3.0,2.0,420.0,63,185000.0
97,78.0,10264,IR1,CollgCr,1Story,7,5,1999,1999,VinylSd,VinylSd,3,PConc,3.0,Av,ALQ,1162.0,426.0,1588.0,5,1588,1588,0.0,2,0,3,3.0,6,0,,Attchd,1999.0,2.0,2.0,472.0,29,214000.0
98,73.0,10921,Reg,Edwards,1Story,4,5,1965,1965,HdBoard,HdBoard,2,CBlock,2.0,No,Rec,520.0,440.0,960.0,3,960,960,1.0,1,0,3,2.0,6,0,,Attchd,1965.0,3.0,1.0,432.0,0,94750.0
99,85.0,10625,Reg,Edwards,1Story,5,5,1920,1950,Wd Sdng,Wd Sdng,2,BrkTil,2.0,No,ALQ,108.0,350.0,458.0,2,835,835,0.0,1,0,2,2.0,5,0,,Basment,1920.0,1.0,1.0,366.0,0,83000.0
100,77.0,9320,IR1,NAmes,1Story,4,5,1959,1959,Plywood,Plywood,2,CBlock,2.0,No,ALQ,569.0,381.0,950.0,2,1225,1225,1.0,1,1,3,2.0,6,0,,,,,0.0,0.0,0,128950.0
101,,10603,IR1,NWAmes,1Story,6,7,1977,2001,Plywood,Plywood,2,PConc,2.0,Mn,ALQ,1200.0,410.0,1610.0,4,1610,1610,1.0,2,0,3,3.0,6,2,3.0,Attchd,1977.0,2.0,2.0,480.0,68,205000.0
102,77.0,9206,Reg,SawyerW,2Story,6,5,1985,1985,HdBoard,HdBoard,3,CBlock,3.0,No,Unf,0.0,741.0,741.0,3,977,1732,0.0,2,1,3,3.0,7,1,3.0,Attchd,1985.0,3.0,2.0,476.0,46,178000.0
